datetime,currency,title,impact,forecast,previous,actual
2020-03-09 02:45,CHF,Unemployment Rate,Low,2.3%,2.3%,2.3%
2020-03-09 03:00,EUR,German Industrial Production m/m,Low,1.7%,-2.2%,3.0%
2020-03-09 05:30,EUR,Sentix Investor Confidence,Low,-11.0,5.2,-17.1
2020-03-09 08:13,CAD,Housing Starts,Low,217K,214K,210K
2020-03-09 08:30,CAD,Building Permits m/m,Low,-2.9%,9.9%,4.0%
2020-03-09 17:45,NZD,Manufacturing Sales q/q,Low,,1.2%,2.4%
2020-03-09 18:34,USD,President Trump Speaks,High,,,
2020-03-09 19:50,JPY,M2 Money Stock y/y,Low,2.8%,2.8%,3.0%
2020-03-09 20:01,GBP,BRC Retail Sales Monitor y/y,Low,0.2%,0.0%,-0.4%
2020-03-09 20:30,AUD,NAB Business Confidence,Medium,,-1,-4
2020-03-09 20:38,USD,NFIB Small Business Index,Low,102.7,104.3,104.5
2020-03-09 21:00,NZD,RBNZ Gov Orr Speaks,High,,,
2020-03-09 21:30,CNY,CPI y/y,Medium,5.2%,5.4%,5.2%
2020-03-10 00:00,CNY,PPI y/y,Low,-0.3%,0.1%,-0.4%
2020-03-10 00:00,EUR,Revised GDP q/q,Low,0.1%,0.1%,0.1%
2020-03-10 02:03,JPY,Prelim Machine Tool Orders y/y,Low,,-35.6%,-30.1%
2020-03-10 02:30,EUR,French Final Private Payrolls q/q,Low,0.2%,0.2%,0.5%
2020-03-10 03:45,EUR,French Industrial Production m/m,Low,1.8%,-2.5%,1.2%
2020-03-10 05:00,EUR,Italian Industrial Production m/m,Low,1.6%,-2.6%,3.7%
2020-03-10 06:00,EUR,Final Employment Change q/q,Low,0.3%,0.3%,0.3%
2020-03-10 06:39,GBP,10-y Bond Auction,Low,,0.51|2.2,0.31|2.2
2020-03-10 18:00,AUD,RBA Deputy Gov Debelle Speaks,Medium,,,
2020-03-10 19:30,AUD,Westpac Consumer Sentiment,Low,,2.3%,-3.8%
2020-03-11 00:00,CNY,M2 Money Supply y/y,Low,8.5%,8.4%,8.8%
2020-03-11 00:00,GBP,Annual Budget Release,High,,,
2020-03-11 00:00,GBP,Asset Purchase Facility,Low,,435B,435B
2020-03-11 00:00,GBP,Construction Output m/m,Low,0.2%,0.4%,-0.8%
2020-03-11 00:00,GBP,Goods Trade Balance,Low,-7.2B,-1.4B,-3.7B
2020-03-11 00:00,GBP,Index of Services 3m/3m,Low,0.1%,0.1%,0.0%
2020-03-11 00:00,GBP,Industrial Production m/m,Low,0.3%,0.1%,-0.1%
2020-03-11 00:00,GBP,MPC Asset Purchase Facility Votes,Low,,0-0-9,0-0-9
2020-03-11 00:00,GBP,MPC Official Bank Rate Votes,High,,0-2-7,0-9-0
2020-03-11 00:00,GBP,Manufacturing Production m/m,Medium,0.2%,0.3%,0.2%
2020-03-11 00:00,GBP,Official Bank Rate,High,,0.75%,0.25%
2020-03-11 00:00,USD,CPI m/m,High,0.0%,0.1%,0.1%
2020-03-11 00:00,USD,CPI y/y,High,2.2%,2.5%,2.3%
2020-03-11 00:00,USD,Core CPI m/m,High,0.2%,0.2%,0.2%
2020-03-11 03:00,GBP,Monetary Policy Summary,High,,,
2020-03-11 04:00,CNY,New Loans,Medium,1100B,3340B,906B
2020-03-11 05:00,GBP,BOE Gov Carney Speaks,High,,,
2020-03-11 05:30,GBP,GDP m/m,Medium,0.2%,0.3%,0.0%
2020-03-11 06:34,EUR,German 10-y Bond Auction,Low,,-0.38|1.2,-0.77|1.0
2020-03-11 08:30,CAD,Capacity Utilization Rate,Low,80.9%,81.5%,81.2%
2020-03-11 09:02,GBP,NIESR GDP Estimate,Low,,0.0%,0.2%
2020-03-11 10:00,USD,Treasury Sec Mnuchin Speaks,High,,,
2020-03-11 10:30,USD,Crude Oil Inventories,Medium,2.0M,0.8M,7.7M
2020-03-11 13:01,USD,10-y Bond Auction,Low,,1.62|2.6,0.85|2.4
2020-03-11 13:59,USD,Federal Budget Balance,Low,-238.1B,-32.6B,-235.3B
2020-03-11 19:50,JPY,BSI Manufacturing Index,Low,-10.2,-7.8,-17.2
2020-03-11 20:00,AUD,MI Inflation Expectations,Low,,4.0%,4.0%
2020-03-11 20:01,GBP,RICS House Price Balance,Low,20%,18%,29%
2020-03-11 21:00,USD,President Trump Speaks,High,,,
2020-03-12 00:00,EUR,Monetary Policy Statement,High,,,
2020-03-12 00:00,JPY,PPI y/y,Low,1.1%,1.5%,0.8%
2020-03-12 00:00,USD,PPI m/m,Medium,-0.1%,0.5%,-0.6%
2020-03-12 00:00,USD,Unemployment Claims,Low,219K,215K,211K
2020-03-12 05:00,EUR,Italian Quarterly Unemployment Rate,Low,9.8%,9.8%,9.7%
2020-03-12 06:00,EUR,Industrial Production m/m,Low,1.4%,-1.8%,2.3%
2020-03-12 06:22,EUR,Italian 10-y Bond Auction,Low,,1.00|1.3,1.29|1.5
2020-03-12 08:30,USD,Core PPI m/m,Medium,0.1%,0.5%,-0.3%
2020-03-12 08:45,EUR,Main Refinancing Rate,High,0.00%,0.00%,0.00%
2020-03-12 09:30,EUR,ECB Press Conference,High,,,
2020-03-12 10:30,USD,Natural Gas Storage,Low,-55B,-109B,-48B
2020-03-12 13:01,USD,30-y Bond Auction,Low,,2.06|2.4,1.32|2.4
2020-03-12 17:30,NZD,BusinessNZ Manufacturing Index,Low,,49.8,53.2
2020-03-12 17:45,NZD,FPI m/m,Low,,2.1%,0.0%
2020-03-13 00:00,CAD,Overnight Rate,High,,1.25%,0.75%
2020-03-13 00:00,EUR,German WPI m/m,Low,-0.8%,1.0%,-0.9%
2020-03-13 00:00,USD,Prelim UoM Inflation Expectations,Low,,2.4%,2.3%
2020-03-13 00:30,JPY,Tertiary Industry Activity m/m,Low,0.0%,-0.3%,0.8%
2020-03-13 03:00,EUR,German Final CPI m/m,Low,0.4%,0.4%,0.4%
2020-03-13 03:36,CNY,Foreign Direct Investment ytd/y,Low,,4.0%,-8.6%
2020-03-13 03:45,EUR,French Final CPI m/m,Low,0.0%,0.0%,0.0%
2020-03-13 08:30,USD,Import Prices m/m,Low,-1.0%,0.1%,-0.5%
2020-03-13 09:30,GBP,CB Leading Index m/m,Low,,0.1%,0.1%
2020-03-13 10:00,USD,Prelim UoM Consumer Sentiment,Medium,95.0,101.0,95.9
2020-03-13 14:08,CAD,BOC Rate Statement,High,,,
